Video Link,Video Views,Uploaded Date,Comments,Likes,Dislikes
['https://www.youtube.com/watch/XjF2n3NaoSk'],"4,028,567 views","Nov 14, 2017","#GoodNews
हमने एक नया YouTube चैनल शुरू किया है  - “Dr Vivek Bindra Personal Vlogs”
https://www.youtube.com/channel/UC6j-DoEcBqvUtdyqjxxpGjA",169K,4.6K
['https://www.youtube.com/watch/xHu2OBXVOY8'],"50,053,464 views","Feb 21, 2018",Meri dadi she is now 89 yrs YouTube kabhi zindagi main open nhi kiya or aap ka video ek bar btaya toh khud  YouTube open karke   trending  list main Jake aapke video dekhti hai apke dialogue bolte rehete hai,910K,44K
['https://www.youtube.com/watch/XgVrYVBs2fc'],"133,155,396 views","Dec 20, 2017",Can't believe this song did not chart at all. It sounds like Dark Horse but w/ more powerful lyrics.,1.4M,251K
['https://www.youtube.com/watch/xBht9TG7ySw'],"4,162,574 views","Nov 11, 2017",I want to cry right now I can’t believe Baal veer got so big who is watching this in 2020,14K,4.7K
['https://www.youtube.com/watch/x4gQHzfLKsg'],"75,111,638 views","Feb 5, 2018","► NEXT VIDEO: Soccer vs Football Trick Shots w/ the F2 
► THUMBS UP if you’re gonna 👀 it",1M,22K
['https://www.youtube.com/watch/X2pdfoBng-A'],"26,523,224 views","May 8, 2018","BBG yehi h wo jagha jaha tumhri degree faadi thi tumhri .... faadi thi?😂
Follow us on insta-: @round2hell
Download now Kwai: https://go.onelink.me/iGO2?pid=IN_Round2Hell",781K,34K
['https://www.youtube.com/watch/x0Dc7pUPkzE'],"1,949,681 views","Mar 19, 2018",Pyaar banaye rakhna dosto :),136K,3.9K
['https://www.youtube.com/watch/WZIsINLpDcA'],"65,042,280 views","Mar 13, 2018","“Doosre ki biwi aur doosre ka paper nahi dekhte”
 Comment below your favourite scene of the video ❤️",1.7M,39K
['https://www.youtube.com/watch/WYV4afdFEvs'],"39,889 views","Nov 13, 2017",,LIKE,DISLIKE
['https://www.youtube.com/watch/WXN8BzAsi3A'],"32,265,025 views","May 30, 2018","“main itna gareeb hu ki agar indian idol mein gaya na, saale 6 episode toh meri gareeb kahani par bana sakte hai”
Comment your favoutite scene and dialogue from the video!",1.1M,40K
['https://www.youtube.com/watch/wvHYHVq9xio'],"7,138,957 views","Dec 19, 2017","There will be no baby
Because Ayla took Kong's balls off.",295K,6.9K
['https://www.youtube.com/watch/wTHR9x5Cdu0'],"580,473 views","Nov 13, 2017",More more super update,1.9K,413
['https://www.youtube.com/watch/WS7f5xpGYn8'],"21,950,164 views","Jun 6, 2018",She's so spoiled. Most kids don't even get a dollar from their parents. Also if I talked to my mom like that I'll get a shoe to my head.,1M,11K
['https://www.youtube.com/watch/WPuhu6dYyQY'],"8,664,077 views","Feb 14, 2018",Redmi Note 5 ki unboxing video bhi hai channel pe!! Is wali ko LIKE aur SHARE karna mat bhoolna....All the best for Giveaway!!!,433K,11K
['https://www.youtube.com/watch/WpqUOW19aJQ'],"24,600,331 views","Dec 7, 2017",Petition for pewdiepie to ride jöergen for YouTube rewind 2019,1.1M,33K
['https://www.youtube.com/watch/WO5s0HXcqr8'],"8,375,389 views","Feb 7, 2018","Ekdum tiny hai yeh tiny t1 🔥 150,000 Likes aur yeh phone aap mein se kisi ek ka...",580K,18K
['https://www.youtube.com/watch/WLzQDPCjfIM'],"232,361,317 views","Jun 5, 2018",The fact that she went from “i know I’d go back to you” to “lose you to love me” is amazing. I’m so proud of her growth,2.6M,105K
['https://www.youtube.com/watch/Wje3zkc7syE'],"14,131,867 views","May 6, 2018",Dislike For Ranveer Singh..,129K,41K
['https://www.youtube.com/watch/wh_hDwv5vug'],"272,428,743 views","Jan 22, 2018",You guys should make a compilation of all of your trick shot fails,4.1M,123K
['https://www.youtube.com/watch/wgamdaaM36I'],"69,313,706 views","May 23, 2018",It took 2 years and a corona for me to discover this gem. Why cant the stupid youtube algorithm suggest these nice things?,998K,24K
['https://www.youtube.com/watch/WEH64_sLRsc'],"65,037,463 views","Dec 7, 2017",Who else wants Jurrasic series to never end???,640K,34K
['https://www.youtube.com/watch/WDiK14qI3pQ'],"1,772,845 views","Nov 11, 2017",So Oracle was right....:),20K,1.9K
['https://www.youtube.com/watch/Waf5MF-UUj0'],"52,372 views","Nov 14, 2017","And I just want to add the director who can take such scripts.
1. Shankar
2. Rajkumar Hirani
3. A R Murugadoss",2.1K,49
['https://www.youtube.com/watch/w5qMOyPuUqU'],"976,533 views","Nov 14, 2017","'Hamara Mission Picture banane ka nai logo ko chutiya banane ka hai' 


Sahi bola",17K,2.3K
['https://www.youtube.com/watch/w5gbHSfbiK4'],"39,332,893 views","Jan 27, 2018",Vikings are looking down at pewds and are not disappointed,1.2M,25K
['https://www.youtube.com/watch/w5FdfullATk'],"316,099,162 views","Nov 20, 2017",Who are here by refering popular uploads from dude prefect,2.2M,116K
['https://www.youtube.com/watch/w4AImq08j9o'],"460,071 views","Nov 15, 2017","Carry ka Mohit ab ""Deepak"" hogaya😂",26K,885
['https://www.youtube.com/watch/w3rRzSsCxQ0'],"149,418 views","Nov 14, 2017",Trusted Journalists,5.7K,312
['https://www.youtube.com/watch/VY1eFxgRR-k'],"54,943,371 views","Jun 4, 2018","This is how many more years dude perfect will live
l
l
V",873K,20K
